OrderID,CustomerName,Gender,Email,Phone,Product,Category,SubCategory,Quantity,UnitPrice,Total revenue,TotalAmount,OrderDate,ShipDate,Region,PaymentMode,City,State
ORD103314,PARKER Dutta,Male,parker.@mailinator.com,-2712855228,Margherita Pizza,Food,Pizza,5,51.36,256.8,256.8,19-08-2024,05-05-2025,North,Cash,Hyderabad,Telangana 
ORD101073,Jordan kapoor,Female,jordan.@hotmail.com,8977222353,Veg Burger,Food,Burger,6,724.91,1449.82,4349.46,14-02-2025,10-08-2026,East,Cash,Chennai ,Tamil Nadu
ORD103712,SKYLER Desai,Unknown,skyler.@outlook.com,9223950247,Pepperoni Pizza,Food,Pizza,1,807.8,4039,807.8,26-03-2025,13-03-2025,North,Online,Pune ,Maharashtra
ORD103766,Angel  Kulkarni,Non-Binary,angelgmailcom,-9264773745,Garlic Bread,Food,Sides,1,981.62,981.62,981.62,11-02-2023,19-09-2023,North,Online,Bengaluru,Karnataka 
ORD104692,Taylor agarwal,Male,taylor.x@outlook.com,-9961556497,Paneer Wrap,Food,Wrap,6,972.82,5836.92,5836.92,11-12-2023,06-05-2024,West,Online,Jaipur ,Rajasthan
ORD101350,Kai Sharma,Male,kai@outlook.com,9681248526,Latte,Beverages,Coffee,1,963.61,963.61,963.61,01-06-2025,14-01-2026,West,UPI,Bengaluru,Karnataka
ORD101610,AVERY Khan,Female,avery.com,+91 8730186075,Coke 500Ml,Beverages,Soft Drink,2,78.93,394.65,157.86,27-05-2025,null,North,Online,Ahmedabad,Gujarat
ORD104958,Harper verma,Male,harper.12@example.com,-8091336166,Espresso,Beverages,Coffee,4,461.89,2771.34,1847.56,25-02-2023,null,South,Card,Ahmedabad,Gujarat
ORD104941,Jesse  Gupta,Female,jesse.x@gmail.com,Not Found,Garlic Bread,Food,Sides,2,707.36,4244.16,1414.72,17-06-2027,16-09-2024,Centar,Online,Pune ,Maharashtra
ORD101140,SAM Verma,Unknown,Not Found,9758073330,Cheese Fries,Food,Sides,4,1115.41,2230.82,4461.64,09-10-2025,06-09-2182,West,Online,Chennai ,Tamil Nadu
ORD102932,Jordan Kulkarni,Unknown,jordan.@company.co,8184759300,Chicken Burger,Food,Burger,4,184.72,923.6,738.88,30-03-2024,15-11-2024,South,Online,Ahmedabad,Gujarat
ORD102524,Casey sharma,Female,casey.@gmail.com,Not Found,Garlic Bread,Food,Sides,1,522.31,522.31,522.31,07-10-2024,21-10-2026,East,UPI,Delhi,Delhi
ORD102960,JAMIE Shah,Male,jamie.x@mailinator.com,-2856910101,Mango Smoothie,Beverages,Smoothie,4,618.25,3091.25,2473,02-01-2027,05-02-2025,North,Online,Ahmedabad ,Gujarat
ORD103446,Sasha verma,Female,sasha.x@example.com,-8926603213,Espresso,Beverages,Coffee,2,182.7,548.1,365.4,04-01-2026,09-08-2023,North,UPI,Ahmedabad,Gujarat
ORD103458,angel Sharma,Female,angel.x@yahoo.com,9593081303 ext 323,Latte,Beverages,Coffee,4,966.53,966.53,3866.12, null,17-06-2022,South,Online,Chennai,Tamil Nadu
ORD103072,Robin Iyer,Female,robin.12@hotmail.com,+91 7481745377,Pepperoni Pizza,Food,Pizza,2,112,448,224,04-10-2022,14-03-2022,North,Cash,Jaipur,Rajasthan
ORD101586,Cameron mehta,Unknown,cameron.@hotmail.com,-3728871481,Cheese Fries,Food,Sides,5,816.43,3265.72,4082.15, null,24-05-2026,West,Online,Kolkata,West Bengal
ORD102456,DREW Kapoor,Female,drew39@outlook.com,9855407103,Margherita Pizza,Food,Pizza,1,646.34,3231.7,646.34,04-02-2026,29-08-2025,North,Cash,Bengaluru,Karnataka
ORD103852,Parker dutta,Female,parker.x@yahoo.com,7913429168,Tandoori Chicken,Food,Main,6,956.44,956.44,5738.64,25-12-2022,02-01-2026,North,Online,Lucknow,Uttar Pradesh
ORD104641,sam Nair,Male,sam90@yahoo.com,7802190904 ext 448,Veg Burger ,Food,Burger,1,1098.58,6591.48,1098.58,25-09-2023,12-06-2023,Centar,Cash,Kolkata,West Bengal
ORD101708,Harper mehta Jr,Female,harper@gmail,(610) 8096521,Paneer Wrap,Food,Wrap,4,901.23,1802.46,3604.92,30-08-2025,11-08-2024,South,Cash,Lucknow,Uttar Pradesh
ORD100655,Rowan verma,Unknown,rowangmailcom,+91 7710392953,Mango Smoothie,Beverages,Smoothie,2,207.21,207.21,414.42,17-11-2023,26-10-2023,Centar,UPI,Ahmedabad,Gujarat
